age,Both,Female,Male,F_to_M_ratio,F_share_pct
15-19 years,20599.230190056736,11839.840166166365,8759.390023890372,1.351674047379369,57.47710014853596
20-24 years,26713.248631077928,12783.626488715412,13929.622142362505,0.9177295951078305,47.85500507730486
25-29 years,26318.05743815585,11569.116242404089,14748.941195751771,0.7844031709704296,43.958853230676574
30-34 years,22605.312842077685,8465.06057883045,14140.252263247226,0.5986498982647215,37.44721711204778
35-39 years,18257.75325165854,6588.557216994533,11669.196034664012,0.5646110663856232,36.08635260965654
40-44 years,18134.726243218745,5621.049713025808,12513.676530192955,0.4491925054530025,30.996054959074606
45-49 years,12999.295836787562,4019.8537269657736,8979.44210982178,0.4476729932440711,30.92362676745709
50-54 years,11224.40313487135,3209.6844908038825,8014.718644067469,0.40047375751358477,28.59559169638351
55-59 years,9166.912339415634,3254.169116295354,5912.743223120276,0.5503653707759124,35.49907532444887
60-64 years,7734.532874351093,2568.7224080459014,5165.810466305191,0.497254482099333,33.21108656172608
65-69 years,6566.2271890770135,2616.38224017673,3949.8449489002815,0.6624012522074278,39.84605108591291
70+ years,16570.68618098671,7347.222641292227,9223.46353969448,0.7965795722693992,44.3386746996782
