state,baseline_rate_2023,apc_pct,pop_M_2023,dmhp_coverage,telemanas_coverage,pesticide_feasibility,s0_status_quo_2030_count,s1_dmhp_2030_count,s2_telemanas_2030_count,s3_pesticide_2030_count,s4_integrated_2030_count,s4_vs_s0_lives_saved_2030
Uttar Pradesh,17.22,12.77,249.2,0.7,0.8,0.65,99521,95938,97531,80114,74541,24980
Maharashtra,18.46,4.45,134.3,0.95,1.0,0.7,33610,33408,33610,26552,26350,7260
Tamil Nadu,21.71,8.4,85.9,1.0,1.0,0.65,32789,32789,32789,26395,26395,6394
Madhya Pradesh,17.52,4.58,90.7,0.8,0.8,0.8,21726,21204,21291,16512,15556,6170
Karnataka,22.34,3.17,72.8,1.0,1.0,0.65,20233,20233,20233,16288,16288,3946
West Bengal,16.8,1.0,106.6,0.8,0.9,0.65,19200,18739,19008,15456,14803,4397
Telangana,28.11,6.77,39.9,0.9,1.0,0.85,17744,17531,17744,13219,13006,4738
Bihar,6.29,10.01,136.2,0.6,0.5,0.5,16703,15902,15868,14198,12561,4142
Gujarat,15.95,2.39,74.7,0.85,1.0,0.55,14052,13799,14052,11734,11481,2572
Rajasthan,11.45,3.4,86.5,0.75,0.8,0.7,12520,12144,12269,9890,9264,3255
Andhra Pradesh,20.2,1.0,56.2,0.85,1.0,0.75,12170,11951,12170,9432,9213,2957
Odisha,17.92,4.65,49.1,0.8,0.8,0.75,12100,11810,11858,9377,8845,3255
Assam,15.22,5.57,37.6,0.7,0.8,0.6,8374,8073,8207,6867,6398,1976
Jharkhand,12.44,6.76,42.0,0.65,0.6,0.65,8268,7920,7937,6656,5978,2290
Kerala,15.29,5.4,35.4,1.0,1.0,0.4,7817,7817,7817,6879,6879,938
Chhattisgarh,20.6,1.31,32.6,0.75,0.8,0.85,7361,7140,7213,5484,5116,2245
Uttarakhand,16.66,16.01,12.5,0.8,0.8,0.6,5869,5728,5752,4813,4555,1315
Haryana,17.07,-2.93,31.5,0.85,0.9,0.7,4369,4291,4326,3452,3329,1040
Punjab,9.25,4.02,32.4,0.9,1.0,0.85,3952,3904,3952,2944,2897,1055
Himachal Pradesh,12.52,4.01,7.9,0.85,0.9,0.55,1307,1283,1294,1091,1054,252
Jammu & Kashmir,6.36,1.68,15.8,0.65,0.7,0.3,1131,1084,1097,1029,948,183
Tripura,21.45,2.55,4.3,0.65,0.7,0.3,1108,1061,1075,1008,928,179
Goa,16.41,4.4,1.6,1.0,1.0,0.2,356,356,356,335,335,21
Mizoram,6.4,20.0,1.4,0.65,0.6,0.2,325,311,312,305,279,46
Arunachal Pradesh,15.03,1.04,1.8,0.6,0.6,0.3,294,280,282,267,242,52
Manipur,11.45,-10.0,3.7,0.5,0.5,0.2,204,192,194,192,169,35
Meghalaya,8.63,-10.0,4.0,0.6,0.6,0.3,165,157,158,150,135,29
Sikkim,14.42,6.31,0.7,0.8,1.0,0.2,156,152,156,147,143,13
Nagaland,4.98,-0.02,2.0,0.55,0.6,0.2,98,92,94,92,83,15
