window_start,window_end,midpoint_year,sex,overall_pct,age_0_4_pct,age_5_14_pct,age_15_29_pct,age_30_44_pct,age_45_54_pct,age_55_69_pct,age_70p_pct
2014,2016,2015,Person,2.3,0.0,1.8,15.8,7.4,2.7,1.0,0.3
2014,2016,2015,Male,2.4,0.0,1.3,13.8,7.3,2.9,1.2,0.3
2014,2016,2015,Female,2.2,0.0,2.4,18.9,7.6,2.5,0.7,0.2
2016,2018,2017,Person,2.5,0.0,1.9,16.9,8.2,3.1,1.1,0.3
2016,2018,2017,Male,2.6,0.0,1.9,14.6,8.2,3.5,1.3,0.3
2016,2018,2017,Female,2.2,0.0,1.9,20.2,8.1,2.4,0.8,0.2
2017,2019,2018,Person,2.5,0.0,2.3,17.4,8.2,3.3,1.1,0.3
2017,2019,2018,Male,2.8,0.0,1.9,15.5,8.3,3.8,1.3,0.4
2017,2019,2018,Female,2.1,0.0,2.8,20.3,7.9,2.3,0.8,0.2
2018,2020,2019,Person,2.4,0.0,2.8,17.5,7.8,3.2,1.1,0.3
2018,2020,2019,Male,2.7,0.0,1.8,15.7,7.9,3.6,1.3,0.4
2018,2020,2019,Female,2.1,0.0,4.0,20.4,7.6,2.6,0.9,0.2
2019,2021,2020,Person,2.2,0.0,2.8,16.3,6.9,2.7,1.0,0.3
2019,2021,2020,Male,2.4,0.0,2.3,15.0,7.2,3.0,1.1,0.4
2019,2021,2020,Female,1.8,0.0,3.5,18.4,6.3,2.1,0.7,0.1
2020,2022,2021,Person,2.3,0.1,3.8,17.1,7.3,2.6,1.0,0.3
2020,2022,2021,Male,2.6,0.1,3.2,16.3,7.7,2.9,1.2,0.4
2020,2022,2021,Female,1.8,0.1,4.4,18.2,6.2,1.9,0.7,0.2
2021,2023,2022,Person,2.5,0.0,4.1,17.3,8.0,3.1,1.1,0.4
2021,2023,2022,Male,3.0,0.0,4.0,17.0,8.5,3.6,1.4,0.5
2021,2023,2022,Female,1.8,0.1,4.2,17.8,6.5,2.0,0.8,0.2
2022,2024,2023,Person,2.8,0.0,4.7,19.0,9.4,3.6,1.4,0.3
2022,2024,2023,Male,3.4,0.0,3.9,18.6,10.0,4.3,1.7,0.5
2022,2024,2023,Female,1.9,0.0,5.6,20.1,7.6,2.0,0.8,0.2
