state,n_years,female_2018,female_2023,apc_pct_per_year,p_value
Jharkhand,8,1590.3472033355729,2056.408227240311,3.5426370012916486,8.520148372173255e-05
Rajasthan,8,2416.9575273813166,3006.931638583,3.4509348595699096,0.001251404574522078
Bihar,8,2359.342981612944,2897.928482980441,3.2660745784724554,0.0004595755932631492
Uttar Pradesh,8,13851.469151443647,17581.88818376943,3.2250243744967655,0.0021116898839627467
Meghalaya,8,60.69470175020938,73.3985446402568,2.5436944541737727,0.0005102690909460863
Haryana,8,1204.9879361266271,1389.1429243591292,2.4645612106140025,0.00020824456017818984
Madhya Pradesh,8,4802.290288794114,5400.3116865950415,2.457349249056695,0.026813789203213794
Manipur,8,111.95346672869732,128.56208299669962,2.039017228207718,0.0009380029010881345
Mizoram,8,15.558188518809406,17.31791909749226,1.744921774978736,0.013088411797270445
Chhattisgarh,8,1652.0662399402506,1870.625611057246,1.7140006663757257,0.003784500838792896
Arunachal Pradesh,8,100.48366376363128,109.83264878297588,1.4775939167972707,0.0017115718167066399
West Bengal,8,7151.855463929194,7340.60759770651,1.4037418157719639,0.24125084125614601
Assam,8,1783.7840155896276,1983.8816905536376,1.3702566982997988,0.05506509704223573
Gujarat,8,3474.157208138948,3567.607710313013,1.3658578769423446,0.22401980313318245
Odisha,8,2810.6005407473235,3012.8144456569785,1.1676517737113423,0.004427828684324472
Maharashtra,8,5106.842874969017,5243.326464674879,0.6724478071225226,0.719821329812897
Uttarakhand,8,767.3334476159224,826.1914353604045,0.5178203967544315,0.6726612095526563
Jammu & Kashmir and Ladakh,8,336.1297213808232,343.221014911224,0.34096808417252156,0.45400467939857003
Tripura,8,403.550432784446,402.4712610842565,0.21935276985449725,0.6107660808343363
Karnataka,8,6496.853276965434,6276.0077129825,0.16354389211428177,0.77765033686628
Delhi,8,415.45482007914296,412.5215687948434,0.15326571286438107,0.8219379613288536
Andhra Pradesh,8,4417.144315052423,4184.856179029318,-0.42103858648565584,0.5408020063734025
Himachal Pradesh,8,275.0374831530456,271.39003242895143,-0.560566786618899,0.15489461378918368
Punjab,8,919.2999396430762,869.2545495200118,-1.3572356511802663,0.08574144105008172
Telangana,8,5301.164831914743,4886.246690183357,-1.3840604266971313,0.045188348684423965
Goa,8,93.91083340447727,86.48273908100902,-1.4118857399147644,0.12141958139249616
Other Union Territories,8,301.61725385241846,278.0735361798818,-1.420016466033791,0.013842613186648102
Nagaland,8,21.25131897522616,18.8141130983556,-1.4338151492888973,0.02465667597546123
Sikkim,8,32.76111370023368,29.71572043992374,-1.5534687737305486,0.09829458166650269
Tamil Nadu,8,7100.469864355828,5763.831349802282,-2.458300944256464,0.06595369416773708
Kerala,8,1519.656076265881,1275.0773216657535,-3.4727591864747165,0.059961364761110865
